PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,AgeCategory
294,0,3,2,24.0,0,0,8.85,3,2
295,0,3,1,24.0,0,0,7.8958,3,2
296,0,1,1,,0,0,27.7208,1,0
297,0,3,1,23.5,0,0,7.2292,1,2
298,0,1,2,2.0,1,2,151.55,3,1
299,1,1,1,,0,0,30.5,3,0
300,1,1,2,50.0,0,1,247.5208,1,3
301,1,3,2,,0,0,7.75,2,0
302,1,3,1,,2,0,23.25,2,0
303,0,3,1,19.0,0,0,0.0,3,2
304,1,2,2,,0,0,12.35,2,0
305,0,3,1,,0,0,8.05,3,0
306,1,1,1,0.92,1,2,151.55,3,1
307,1,1,2,,0,0,110.8833,1,0
308,1,1,2,17.0,1,0,108.9,1,2
309,0,2,1,30.0,1,0,24.0,1,2
310,1,1,2,30.0,0,0,56.9292,1,2
311,1,1,2,24.0,0,0,83.1583,1,2
312,1,1,2,18.0,2,2,262.375,1,2
313,0,2,2,26.0,1,1,26.0,3,2
314,0,3,1,28.0,0,0,7.8958,3,2
315,0,2,1,43.0,1,1,26.25,3,3
316,1,3,2,26.0,0,0,7.8542,3,2
317,1,2,2,24.0,1,0,26.0,3,2
318,0,2,1,54.0,0,0,14.0,3,3
319,1,1,2,31.0,0,2,164.8667,3,2
320,1,1,2,40.0,1,1,134.5,1,3
321,0,3,1,22.0,0,0,7.25,3,2
322,0,3,1,27.0,0,0,7.8958,3,2
323,1,2,2,30.0,0,0,12.35,2,2
324,1,2,2,22.0,1,1,29.0,3,2
325,0,3,1,,8,2,69.55,3,0
326,1,1,2,36.0,0,0,135.6333,1,3
327,0,3,1,61.0,0,0,6.2375,3,3
328,1,2,2,36.0,0,0,13.0,3,3
329,1,3,2,31.0,1,1,20.525,3,2
330,1,1,2,16.0,0,1,57.9792,1,2
331,1,3,2,,2,0,23.25,2,0
332,0,1,1,45.5,0,0,28.5,3,3
333,0,1,1,38.0,0,1,153.4625,3,3
334,0,3,1,16.0,2,0,18.0,3,2
335,1,1,2,,1,0,133.65,3,0
336,0,3,1,,0,0,7.8958,3,0
337,0,1,1,29.0,1,0,66.6,3,2
338,1,1,2,41.0,0,0,134.5,1,3
339,1,3,1,45.0,0,0,8.05,3,3
340,0,1,1,45.0,0,0,35.5,3,3
341,1,2,1,2.0,1,1,26.0,3,1
342,1,1,2,24.0,3,2,263.0,3,2
343,0,2,1,28.0,0,0,13.0,3,2
344,0,2,1,25.0,0,0,13.0,3,2
345,0,2,1,36.0,0,0,13.0,3,3
346,1,2,2,24.0,0,0,13.0,3,2
347,1,2,2,40.0,0,0,13.0,3,3
348,1,3,2,,1,0,16.1,3,0
349,1,3,1,3.0,1,1,15.9,3,1
350,0,3,1,42.0,0,0,8.6625,3,3
351,0,3,1,23.0,0,0,9.225,3,2
352,0,1,1,,0,0,35.0,3,0
353,0,3,1,15.0,1,1,7.2292,1,2
354,0,3,1,25.0,1,0,17.8,3,2
355,0,3,1,,0,0,7.225,1,0
356,0,3,1,28.0,0,0,9.5,3,2
357,1,1,2,22.0,0,1,55.0,3,2
358,0,2,2,38.0,0,0,13.0,3,3
359,1,3,2,,0,0,7.8792,2,0
360,1,3,2,,0,0,7.8792,2,0
361,0,3,1,40.0,1,4,27.9,3,3
362,0,2,1,29.0,1,0,27.7208,1,2
363,0,3,2,45.0,0,1,14.4542,1,3
364,0,3,1,35.0,0,0,7.05,3,3
365,0,3,1,,1,0,15.5,2,0
366,0,3,1,30.0,0,0,7.25,3,2
367,1,1,2,60.0,1,0,75.25,1,3
368,1,3,2,,0,0,7.2292,1,0
369,1,3,2,,0,0,7.75,2,0
370,1,1,2,24.0,0,0,69.3,1,2
371,1,1,1,25.0,1,0,55.4417,1,2
372,0,3,1,18.0,1,0,6.4958,3,2
373,0,3,1,19.0,0,0,8.05,3,2
374,0,1,1,22.0,0,0,135.6333,1,2
375,0,3,2,3.0,3,1,21.075,3,1
376,1,1,2,,1,0,82.1708,1,0
377,1,3,2,22.0,0,0,7.25,3,2
378,0,1,1,27.0,0,2,211.5,1,2
379,0,3,1,20.0,0,0,4.0125,1,2
380,0,3,1,19.0,0,0,7.775,3,2
381,1,1,2,42.0,0,0,227.525,1,3
382,1,3,2,1.0,0,2,15.7417,1,1
383,0,3,1,32.0,0,0,7.925,3,2
384,1,1,2,35.0,1,0,52.0,3,3
385,0,3,1,,0,0,7.8958,3,0
386,0,2,1,18.0,0,0,73.5,3,2
387,0,3,1,1.0,5,2,46.9,3,1
388,1,2,2,36.0,0,0,13.0,3,3
389,0,3,1,,0,0,7.7292,2,0
390,1,2,2,17.0,0,0,12.0,1,2
391,1,1,1,36.0,1,2,120.0,3,3
392,1,3,1,21.0,0,0,7.7958,3,2
393,0,3,1,28.0,2,0,7.925,3,2
394,1,1,2,23.0,1,0,113.275,1,2
395,1,3,2,24.0,0,2,16.7,3,2
396,0,3,1,22.0,0,0,7.7958,3,2
397,0,3,2,31.0,0,0,7.8542,3,2
398,0,2,1,46.0,0,0,26.0,3,3
399,0,2,1,23.0,0,0,10.5,3,2
400,1,2,2,28.0,0,0,12.65,3,2
401,1,3,1,39.0,0,0,7.925,3,3
402,0,3,1,26.0,0,0,8.05,3,2
403,0,3,2,21.0,1,0,9.825,3,2
404,0,3,1,28.0,1,0,15.85,3,2
405,0,3,2,20.0,0,0,8.6625,3,2
406,0,2,1,34.0,1,0,21.0,3,2
407,0,3,1,51.0,0,0,7.75,3,3
408,1,2,1,3.0,1,1,18.75,3,1
409,0,3,1,21.0,0,0,7.775,3,2
410,0,3,2,,3,1,25.4667,3,0
411,0,3,1,,0,0,7.8958,3,0
412,0,3,1,,0,0,6.8583,2,0
413,1,1,2,33.0,1,0,90.0,2,2
414,0,2,1,,0,0,0.0,3,0
415,1,3,1,44.0,0,0,7.925,3,3
416,0,3,2,,0,0,8.05,3,0
417,1,2,2,34.0,1,1,32.5,3,2
418,1,2,2,18.0,0,2,13.0,3,2
419,0,2,1,30.0,0,0,13.0,3,2
420,0,3,2,10.0,0,2,24.15,3,1
421,0,3,1,,0,0,7.8958,1,0
422,0,3,1,21.0,0,0,7.7333,2,2
423,0,3,1,29.0,0,0,7.875,3,2
424,0,3,2,28.0,1,1,14.4,3,2
425,0,3,1,18.0,1,1,20.2125,3,2
426,0,3,1,,0,0,7.25,3,0
427,1,2,2,28.0,1,0,26.0,3,2
428,1,2,2,19.0,0,0,26.0,3,2
429,0,3,1,,0,0,7.75,2,0
430,1,3,1,32.0,0,0,8.05,3,2
431,1,1,1,28.0,0,0,26.55,3,2
432,1,3,2,,1,0,16.1,3,0
433,1,2,2,42.0,1,0,26.0,3,3
434,0,3,1,17.0,0,0,7.125,3,2
435,0,1,1,50.0,1,0,55.9,3,3
436,1,1,2,14.0,1,2,120.0,3,1
437,0,3,2,21.0,2,2,34.375,3,2
438,1,2,2,24.0,2,3,18.75,3,2
439,0,1,1,64.0,1,4,263.0,3,3
440,0,2,1,31.0,0,0,10.5,3,2
441,1,2,2,45.0,1,1,26.25,3,3
442,0,3,1,20.0,0,0,9.5,3,2
443,0,3,1,25.0,1,0,7.775,3,2
444,1,2,2,28.0,0,0,13.0,3,2
445,1,3,1,,0,0,8.1125,3,0
446,1,1,1,4.0,0,2,81.8583,3,1
447,1,2,2,13.0,0,1,19.5,3,1
448,1,1,1,34.0,0,0,26.55,3,2
449,1,3,2,5.0,2,1,19.2583,1,1
450,1,1,1,52.0,0,0,30.5,3,3
451,0,2,1,36.0,1,2,27.75,3,3
452,0,3,1,,1,0,19.9667,3,0
453,0,1,1,30.0,0,0,27.75,1,2
454,1,1,1,49.0,1,0,89.1042,1,3
455,0,3,1,,0,0,8.05,3,0
456,1,3,1,29.0,0,0,7.8958,1,2
457,0,1,1,65.0,0,0,26.55,3,4
458,1,1,2,,1,0,51.8625,3,0
459,1,2,2,50.0,0,0,10.5,3,3
460,0,3,1,,0,0,7.75,2,0
461,1,1,1,48.0,0,0,26.55,3,3
462,0,3,1,34.0,0,0,8.05,3,2
463,0,1,1,47.0,0,0,38.5,3,3
464,0,2,1,48.0,0,0,13.0,3,3
465,0,3,1,,0,0,8.05,3,0
466,0,3,1,38.0,0,0,7.05,3,3
467,0,2,1,,0,0,0.0,3,0
468,0,1,1,56.0,0,0,26.55,3,3
469,0,3,1,,0,0,7.725,2,0
470,1,3,2,0.75,2,1,19.2583,1,1
471,0,3,1,,0,0,7.25,3,0
472,0,3,1,38.0,0,0,8.6625,3,3
473,1,2,2,33.0,1,2,27.75,3,2
474,1,2,2,23.0,0,0,13.7917,1,2
475,0,3,2,22.0,0,0,9.8375,3,2
476,0,1,1,,0,0,52.0,3,0
477,0,2,1,34.0,1,0,21.0,3,2
478,0,3,1,29.0,1,0,7.0458,3,2
479,0,3,1,22.0,0,0,7.5208,3,2
480,1,3,2,2.0,0,1,12.2875,3,1
481,0,3,1,9.0,5,2,46.9,3,1
482,0,2,1,,0,0,0.0,3,0
483,0,3,1,50.0,0,0,8.05,3,3
484,1,3,2,63.0,0,0,9.5875,3,3
485,1,1,1,25.0,1,0,91.0792,1,2
486,0,3,2,,3,1,25.4667,3,0
487,1,1,2,35.0,1,0,90.0,3,3
488,0,1,1,58.0,0,0,29.7,1,3
489,0,3,1,30.0,0,0,8.05,3,2
490,1,3,1,9.0,1,1,15.9,3,1
491,0,3,1,,1,0,19.9667,3,0
492,0,3,1,21.0,0,0,7.25,3,2
493,0,1,1,55.0,0,0,30.5,3,3
494,0,1,1,71.0,0,0,49.5042,1,4
495,0,3,1,21.0,0,0,8.05,3,2
496,0,3,1,,0,0,14.4583,1,0
497,1,1,2,54.0,1,0,78.2667,1,3
498,0,3,1,,0,0,15.1,3,0
499,0,1,2,25.0,1,2,151.55,3,2
500,0,3,1,24.0,0,0,7.7958,3,2
501,0,3,1,17.0,0,0,8.6625,3,2
502,0,3,2,21.0,0,0,7.75,2,2
503,0,3,2,,0,0,7.6292,2,0
504,0,3,2,37.0,0,0,9.5875,3,3
505,1,1,2,16.0,0,0,86.5,3,2
506,0,1,1,18.0,1,0,108.9,1,2
507,1,2,2,33.0,0,2,26.0,3,2
508,1,1,1,,0,0,26.55,3,0
509,0,3,1,28.0,0,0,22.525,3,2
510,1,3,1,26.0,0,0,56.4958,3,2
511,1,3,1,29.0,0,0,7.75,2,2
512,0,3,1,,0,0,8.05,3,0
513,1,1,1,36.0,0,0,26.2875,3,3
514,1,1,2,54.0,1,0,59.4,1,3
515,0,3,1,24.0,0,0,7.4958,3,2
516,0,1,1,47.0,0,0,34.0208,3,3
517,1,2,2,34.0,0,0,10.5,3,2
518,0,3,1,,0,0,24.15,2,0
519,1,2,2,36.0,1,0,26.0,3,3
520,0,3,1,32.0,0,0,7.8958,3,2
521,1,1,2,30.0,0,0,93.5,3,2
522,0,3,1,22.0,0,0,7.8958,3,2
523,0,3,1,,0,0,7.225,1,0
524,1,1,2,44.0,0,1,57.9792,1,3
525,0,3,1,,0,0,7.2292,1,0
526,0,3,1,40.5,0,0,7.75,2,3
527,1,2,2,50.0,0,0,10.5,3,3
528,0,1,1,,0,0,221.7792,3,0
529,0,3,1,39.0,0,0,7.925,3,3
530,0,2,1,23.0,2,1,11.5,3,2
531,1,2,2,2.0,1,1,26.0,3,1
532,0,3,1,,0,0,7.2292,1,0
533,0,3,1,17.0,1,1,7.2292,1,2
534,1,3,2,,0,2,22.3583,1,0
535,0,3,2,30.0,0,0,8.6625,3,2
536,1,2,2,7.0,0,2,26.25,3,1
537,0,1,1,45.0,0,0,26.55,3,3
538,1,1,2,30.0,0,0,106.425,1,2
539,0,3,1,,0,0,14.5,3,0
540,1,1,2,22.0,0,2,49.5,1,2
541,1,1,2,36.0,0,2,71.0,3,3
542,0,3,2,9.0,4,2,31.275,3,1
543,0,3,2,11.0,4,2,31.275,3,1
544,1,2,1,32.0,1,0,26.0,3,2
545,0,1,1,50.0,1,0,106.425,1,3
546,0,1,1,64.0,0,0,26.0,3,3
547,1,2,2,19.0,1,0,26.0,3,2
548,1,2,1,,0,0,13.8625,1,0
549,0,3,1,33.0,1,1,20.525,3,2
550,1,2,1,8.0,1,1,36.75,3,1
551,1,1,1,17.0,0,2,110.8833,1,2
552,0,2,1,27.0,0,0,26.0,3,2
553,0,3,1,,0,0,7.8292,2,0
554,1,3,1,22.0,0,0,7.225,1,2
555,1,3,2,22.0,0,0,7.775,3,2
556,0,1,1,62.0,0,0,26.55,3,3
557,1,1,2,48.0,1,0,39.6,1,3
558,0,1,1,,0,0,227.525,1,0
559,1,1,2,39.0,1,1,79.65,3,3
560,1,3,2,36.0,1,0,17.4,3,3
561,0,3,1,,0,0,7.75,2,0
562,0,3,1,40.0,0,0,7.8958,3,3
563,0,2,1,28.0,0,0,13.5,3,2
564,0,3,1,,0,0,8.05,3,0
565,0,3,2,,0,0,8.05,3,0
566,0,3,1,24.0,2,0,24.15,3,2
567,0,3,1,19.0,0,0,7.8958,3,2
568,0,3,2,29.0,0,4,21.075,3,2
569,0,3,1,,0,0,7.2292,1,0
570,1,3,1,32.0,0,0,7.8542,3,2
571,1,2,1,62.0,0,0,10.5,3,3
572,1,1,2,53.0,2,0,51.4792,3,3
573,1,1,1,36.0,0,0,26.3875,3,3
574,1,3,2,,0,0,7.75,2,0
575,0,3,1,16.0,0,0,8.05,3,2
576,0,3,1,19.0,0,0,14.5,3,2
577,1,2,2,34.0,0,0,13.0,3,2
578,1,1,2,39.0,1,0,55.9,3,3
579,0,3,2,,1,0,14.4583,1,0
580,1,3,1,32.0,0,0,7.925,3,2
581,1,2,2,25.0,1,1,30.0,3,2
582,1,1,2,39.0,1,1,110.8833,1,3
583,0,2,1,54.0,0,0,26.0,3,3
584,0,1,1,36.0,0,0,40.125,1,3
585,0,3,1,,0,0,8.7125,1,0
586,1,1,2,18.0,0,2,79.65,3,2
